	0	1
0	0.0	0.15477176530586378
1	0.04040404040404041	0.11176669003680781
2	0.08080808080808081	0.07040030758671441
3	0.12121212121212122	0.03055230483309508
4	0.16161616161616163	-0.007884849084290633
5	0.20202020202020204	-0.045007651681588524
6	0.24242424242424243	-0.08090302679875641
7	0.2828282828282829	-0.11564955059015372
8	0.32323232323232326	-0.14931848733967215
9	0.36363636363636365	-0.1819746694377768
10	0.4040404040404041	-0.21367724883549918
11	0.4444444444444445	-0.24448034186291598
12	0.48484848484848486	-0.2744335850707018
13	0.5252525252525253	-0.303582616433185
14	0.5656565656565657	-0.3319694936259903
15	0.6060606060606061	-0.3596330590013901
16	0.6464646464646465	-0.38660925921015615
17	0.686868686868687	-0.4129314260692196
18	0.7272727272727273	-0.4386305241806462
19	0.7676767676767677	-0.4637353699159977
20	0.8080808080808082	-0.4882728256499945
21	0.8484848484848485	-0.5122679725263353
22	0.888888888888889	-0.5357442645415088
23	0.9292929292929294	-0.5587236663195805
24	0.9696969696969697	-0.5812267766065565
25	1.0101010101010102	-0.6032729392245282
26	1.0505050505050506	-0.6248803429832938
27	1.090909090909091	-0.6460661118425559
28	1.1313131313131315	-0.6668463864444931
29	1.1717171717171717	-0.6872363979892748
30	1.2121212121212122	-0.7072505353005574
31	1.2525252525252526	-0.7269024058206632
32	1.292929292929293	-0.7462048911830683
33	1.3333333333333335	-0.7651701979306222
34	1.373737373737374	-0.783809903879602
35	1.4141414141414144	-0.8021350005706058
36	1.4545454545454546	-0.8201559321960419
37	1.494949494949495	-0.8378826313494258
38	1.5353535353535355	-0.8553245519028572
39	1.575757575757576	-0.8724906992851494
40	1.6161616161616164	-0.889389658403391
41	1.6565656565656568	-0.9060296194246563
42	1.696969696969697	-0.9224184016116997
43	1.7373737373737375	-0.9385634753862758
44	1.777777777777778	-0.9544719827759179
45	1.8181818181818183	-0.9701507563842554
46	1.8585858585858588	-0.9856063370109873
47	1.8989898989898992	-1.0008449900352425
48	1.9393939393939394	-1.0158727206650298
49	1.97979797979798	-1.030695288145669
50	2.0202020202020203	-1.0453182190113357
51	2.060606060606061	-1.0597468194560242
52	2.101010101010101	-1.0739861868932277
53	2.1414141414141414	-1.0880412207673553
54	2.181818181818182	-1.1019166326742629
55	2.2222222222222223	-1.1156169558432145
56	2.262626262626263	-1.1291465540280188
57	2.303030303030303	-1.1425096298509767
58	2.3434343434343434	-1.1557102326395585
59	2.383838383838384	-1.1687522657923746
60	2.4242424242424243	-1.1816394937079668
61	2.464646464646465	-1.1943755483071878
62	2.505050505050505	-1.2069639351774455
63	2.545454545454546	-1.219408039364822
64	2.585858585858586	-1.2317111308379967
65	2.6262626262626263	-1.2438763696460595
66	2.666666666666667	-1.2559068107905431
67	2.707070707070707	-1.2678054088304849
68	2.747474747474748	-1.2795750222378763
69	2.787878787878788	-1.2912184175195587
70	2.8282828282828287	-1.3027382731204427
71	2.868686868686869	-1.3141371831218185
72	2.909090909090909	-1.32541766074754
73	2.94949494949495	-1.3365821416899286
74	2.98989898989899	-1.3476329872664121
75	3.0303030303030307	-1.3585724874171323
76	3.070707070707071	-1.3694028635530353
77	3.111111111111111	-1.3801262712633113
78	3.151515151515152	-1.3907448028904346
79	3.191919191919192	-1.4012604899804932
80	3.2323232323232327	-1.4116753056159999
81	3.272727272727273	-1.4219911666378677
82	3.3131313131313136	-1.4322099357628209
83	3.353535353535354	-1.4423334236020904
84	3.393939393939394	-1.452363390586855
85	3.4343434343434347	-1.4623015488055646
86	3.474747474747475	-1.4721495637579354
87	3.5151515151515156	-1.481909056030103
88	3.555555555555556	-1.4915816028951627
89	3.5959595959595965	-1.5011687398430427
90	3.6363636363636367	-1.5106719620434148
91	3.676767676767677	-1.5200927257451444
92	3.7171717171717176	-1.529432449615542
93	3.757575757575758	-1.538692516022502
94	3.7979797979797985	-1.5478742722624281
95	3.8383838383838387	-1.5569790317366696
96	3.878787878787879	-1.5660080750790417
97	3.9191919191919196	-1.5749626512368473
98	3.95959595959596	-1.5838439785076828
99	4.0	-1.5926532455341833
