	z	k
0	0.0	-0.0
1	0.006012024048096192	-0.006507928804072959
2	0.012024048096192385	-0.012977081238177483
3	0.018036072144288578	-0.019407916651323253
4	0.02404809619238477	-0.02580088627830566
5	0.03006012024048096	-0.032156433429713756
6	0.036072144288577156	-0.03847499367638105
7	0.04208416833667335	-0.04475699502852166
8	0.04809619238476954	-0.05100285810970971
9	0.05410821643286573	-0.05721299632587144
10	0.06012024048096192	-0.06338781602948922
11	0.06613226452905811	-0.06952771667914383
12	0.07214428857715431	-0.0756330909945946
13	0.0781563126252505	-0.08170432510749699
14	0.0841683366733467	-0.08774179870794734
15	0.09018036072144288	-0.0937458851869734
16	0.09619238476953908	-0.0997169517751007
17	0.10220440881763528	-0.10565535967713438
18	0.10821643286573146	-0.11156146420326901
19	0.11422845691382766	-0.11743561489666911
20	0.12024048096192384	-0.12327815565758356
21	0.12625250501002003	-0.12908942486417815
22	0.13226452905811623	-0.1348697554901206
23	0.13827655310621242	-0.1406194752190705
24	0.14428857715430862	-0.14633890655614443
25	0.15030060120240482	-0.15202836693645844
26	0.156312625250501	-0.1576881688308529
27	0.1623246492985972	-0.1633186198488668
28	0.1683366733466934	-0.16892002283905855
29	0.1743486973947896	-0.17449267598675067
30	0.18036072144288576	-0.18003687290927844
31	0.18637274549098196	-0.1855529027488243
32	0.19238476953907815	-0.1910410502628969
33	0.19839679358717435	-0.1965015959125504
34	0.20440881763527055	-0.20193481594837243
35	0.21042084168336672	-0.2073409824943533
36	0.21643286573146292	-0.21272036362966718
37	0.22244488977955912	-0.2180732234684417
38	0.22845691382765532	-0.2233998222375626
39	0.2344689378757515	-0.22870041635258742
40	0.24048096192384769	-0.2339752584918188
41	0.24649298597194388	-0.2392245976685719
42	0.25250501002004005	-0.24444867930171213
43	0.25851703406813625	-0.24964774528451392
44	0.26452905811623245	-0.2548220340518608
45	0.27054108216432865	-0.259971780645855
46	0.27655310621242485	-0.26509721677990117
47	0.28256513026052105	-0.270198570901242
48	0.28857715430861725	-0.27527606825208006
49	0.29458917835671344	-0.28032993092923386
50	0.30060120240480964	-0.28536037794244745
51	0.3066132264529058	-0.2903676252713264
52	0.312625250501002	-0.295351885920982
53	0.3186372745490982	-0.3003133699764117
54	0.3246492985971944	-0.30525228465562404
55	0.3306613226452906	-0.3101688343615675
56	0.3366733466933868	-0.31506322073289683
57	0.342685370741483	-0.31993564269358954
58	0.3486973947895792	-0.32478629650146834
59	0.35470941883767537	-0.32961537579561523
